Line Type,Number of Fare Passengers Carried During Fiscal Year 1939,Increase or (D) Decrease in Traffic During 1939 - Number of Passengers,Increase or (D) Decrease in Traffic During 1939 - Per Cent,Month,Year,Station,Fiscal Year 1939,Fiscal Year 1938,Increase or (D) Decrease Number,Increase or (D) Decrease Per Cent,STATIONS,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,Line,Borough,LINE,BOROUGH,_page,_page_desc
,,,,,,,,,,,"175th Street (from Sept. 10, 1932)",,,,3023467,4147788,4281898,3902096,3999071,3765905,4719406,,,,,11,"Independent City-Owned Rapid Transit Railroad System - Fares Collected by Stations, Fiscal Years Ended June 30, 1933 to 1939 - Eighth Avenue Line and Houston-Essex Street Line"
,,,,,,,,,,,"168th Street (from Sept. 10, 1932)",,,,2629102,3341192,3651884,3814024,3942871,4018009,4061383,,,,,11,"Independent City-Owned Rapid Transit Railroad System - Fares Collected by Stations, Fiscal Years Ended June 30, 1933 to 1939 - Eighth Avenue Line and Houston-Essex Street Line"
,,,,,,,,,,,"163rd Street (from Sept. 10, 1932)",,,,1369183,2645407,3991483,3197789,3384026,3602608,2625607,,,,,11,"Independent City-Owned Rapid Transit Railroad System - Fares Collected by Stations, Fiscal Years Ended June 30, 1933 to 1939 - Eighth Avenue Line and Houston-Essex Street Line"
,,,,,,,,,,,"155th Street (from Sept. 10, 1932)",,,,2025484,3128114,3419994,3433291,2513280,2902796,3053780,,,,,11,"Independent City-Owned Rapid Transit Railroad System - Fares Collected by Stations, Fiscal Years Ended June 30, 1933 to 1939 - Eighth Avenue Line and Houston-Essex Street Line"
,,,,,,,,,,,"145th Street (from Sept. 10, 1932)",,,,2656097,4469848,5100641,5640255,6003764,6876601,6669922,,,,,11,"Independent City-Owned Rapid Transit Railroad System - Fares Collected by Stations, Fiscal Years Ended June 30, 1933 to 1939 - Eighth Avenue Line and Houston-Essex Street Line"
,,,,,,,,,,,"135th Street (from Sept. 10, 1932)",,,,1124753,1968680,2906502,2552866,2918610,3080253,2594776,,,,,11,"Independent City-Owned Rapid Transit Railroad System - Fares Collected by Stations, Fiscal Years Ended June 30, 1933 to 1939 - Eighth Avenue Line and Houston-Essex Street Line"
,,,,,,,,,,,"125th Street (from Sept. 10, 1932)",,,,2022091,3631490,4110291,4355078,4607955,4946025,4777457,,,,,11,"Independent City-Owned Rapid Transit Railroad System - Fares Collected by Stations, Fiscal Years Ended June 30, 1933 to 1939 - Eighth Avenue Line and Houston-Essex Street Line"
,,,,,,,,,,,"116th Street (from Sept. 10, 1932)",,,,1384890,2135924,2358464,2500208,2835649,3045059,2341900,,,,,11,"Independent City-Owned Rapid Transit Railroad System - Fares Collected by Stations, Fiscal Years Ended June 30, 1933 to 1939 - Eighth Avenue Line and Houston-Essex Street Line"
,,,,,,,,,,,"110th Street (from Sept. 10, 1932)",,,,1142540,1897190,2183937,2809011,2407440,3097298,2697090,,,,,11,"Independent City-Owned Rapid Transit Railroad System - Fares Collected by Stations, Fiscal Years Ended June 30, 1933 to 1939 - Eighth Avenue Line and Houston-Essex Street Line"
,,,,,,,,,,,"103rd Street (from Sept. 10, 1932)",,,,688551,1090005,1169005,1148057,1383948,1437052,1226659,,,,,11,"Independent City-Owned Rapid Transit Railroad System - Fares Collected by Stations, Fiscal Years Ended June 30, 1933 to 1939 - Eighth Avenue Line and Houston-Essex Street Line"
,,,,,,,,,,,"96th Street (from Sept. 10, 1932)",,,,1220299,1928484,2290144,2463051,2674637,2817948,3065078,,,,,11,"Independent City-Owned Rapid Transit Railroad System - Fares Collected by Stations, Fiscal Years Ended June 30, 1933 to 1939 - Eighth Avenue Line and Houston-Essex Street Line"
,,,,,,,,,,,"86th Street (from Sept. 10, 1932)",,,,1508235,3463527,3849478,3479433,3976836,4192846,3907485,,,,,11,"Independent City-Owned Rapid Transit Railroad System - Fares Collected by Stations, Fiscal Years Ended June 30, 1933 to 1939 - Eighth Avenue Line and Houston-Essex Street Line"
,,,,,,,,,,,"81st Street (from Sept. 10, 1932)",,,,969056,1704928,2053602,3185017,3849038,3510768,2690842,,,,,11,"Independent City-Owned Rapid Transit Railroad System - Fares Collected by Stations, Fiscal Years Ended June 30, 1933 to 1939 - Eighth Avenue Line and Houston-Essex Street Line"
,,,,,,,,,,,"72nd Street (from Sept. 10, 1932)",,,,999910,1799762,2053202,2217563,2395292,3565285,2729886,,,,,11,"Independent City-Owned Rapid Transit Railroad System - Fares Collected by Stations, Fiscal Years Ended June 30, 1933 to 1939 - Eighth Avenue Line and Houston-Essex Street Line"
,,,,,,,,,,,"59th Street (from Sept. 10, 1932)",,,,3272297,6166851,7054441,7432636,7824039,8443789,9443800,,,,,11,"Independent City-Owned Rapid Transit Railroad System - Fares Collected by Stations, Fiscal Years Ended June 30, 1933 to 1939 - Eighth Avenue Line and Houston-Essex Street Line"
,,,,,,,,,,,"50th Street (from Sept. 10, 1932)",,,,2005294,3854155,4469909,7198664,8386657,9321146,10105688,,,,,11,"Independent City-Owned Rapid Transit Railroad System - Fares Collected by Stations, Fiscal Years Ended June 30, 1933 to 1939 - Eighth Avenue Line and Houston-Essex Street Line"
,,,,,,,,,,,"42nd Street (from Sept. 10, 1932)",,,,5885109,12741199,15513975,17897714,20690818,23663924,25283060,,,,,11,"Independent City-Owned Rapid Transit Railroad System - Fares Collected by Stations, Fiscal Years Ended June 30, 1933 to 1939 - Eighth Avenue Line and Houston-Essex Street Line"
,,,,,,,,,,,"34th Street (from Sept. 10, 1932)",,,,5167390,12671360,15855942,16141841,21785543,24679685,24492183,,,,,11,"Independent City-Owned Rapid Transit Railroad System - Fares Collected by Stations, Fiscal Years Ended June 30, 1933 to 1939 - Eighth Avenue Line and Houston-Essex Street Line"
,,,,,,,,,,,"23rd Street (from Sept. 10, 1932)",,,,1918256,4083791,5175042,5858749,6888181,7899310,8721977,,,,,11,"Independent City-Owned Rapid Transit Railroad System - Fares Collected by Stations, Fiscal Years Ended June 30, 1933 to 1939 - Eighth Avenue Line and Houston-Essex Street Line"
,,,,,,,,,,,"14th Street (from Sept. 10, 1932)",,,,3765929,6234258,7664919,8655768,9092848,9847660,10532781,,,,,11,"Independent City-Owned Rapid Transit Railroad System - Fares Collected by Stations, Fiscal Years Ended June 30, 1933 to 1939 - Eighth Avenue Line and Houston-Essex Street Line"
,,,,,,,,,,,"4th Street (from Sept. 10, 1932)",,,,1476022,3235845,4098171,4718351,5283985,5988126,7740362,,,,,11,"Independent City-Owned Rapid Transit Railroad System - Fares Collected by Stations, Fiscal Years Ended June 30, 1933 to 1939 - Eighth Avenue Line and Houston-Essex Street Line"
,,,,,,,,,,,"Spring Street (from Sept. 10, 1932)",,,,703211,2370705,1618155,1718638,1628497,1706364,1711320,,,,,11,"Independent City-Owned Rapid Transit Railroad System - Fares Collected by Stations, Fiscal Years Ended June 30, 1933 to 1939 - Eighth Avenue Line and Houston-Essex Street Line"
,,,,,,,,,,,"Canal Street (from Sept. 10, 1932)",,,,1190801,2790498,2231695,2595902,2936786,1875907,4638914,,,,,11,"Independent City-Owned Rapid Transit Railroad System - Fares Collected by Stations, Fiscal Years Ended June 30, 1933 to 1939 - Eighth Avenue Line and Houston-Essex Street Line"
,,,,,,,,,,,"Chambers Street (from Sept. 10, 1932)",,,,6091201,8144808,8038207,8584856,6902862,10247520,10928800,,,,,11,"Independent City-Owned Rapid Transit Railroad System - Fares Collected by Stations, Fiscal Years Ended June 30, 1933 to 1939 - Eighth Avenue Line and Houston-Essex Street Line"
,,,,,,,,,,,"Cortlandt-Nassau Street (from February 1, 1933)",,,,873417,2711093,8590706,6538667,8063245,9464539,9781045,,,,,11,"Independent City-Owned Rapid Transit Railroad System - Fares Collected by Stations, Fiscal Years Ended June 30, 1933 to 1939 - Eighth Avenue Line and Houston-Essex Street Line"
,,,,,,,,,,,"High Street (from February 24, 1933)",,,,3927,897331,1363376,1604711,1649298,1700390,1754878,,,,,11,"Independent City-Owned Rapid Transit Railroad System - Fares Collected by Stations, Fiscal Years Ended June 30, 1933 to 1939 - Eighth Avenue Line and Houston-Essex Street Line"
,,,,,,,,,,,"Jay Street-Borough Hall (from February 1, 1933)",,,,733742,3662046,4745441,5891093,4883898,6931069,4882469,,,,,11,"Independent City-Owned Rapid Transit Railroad System - Fares Collected by Stations, Fiscal Years Ended June 30, 1933 to 1939 - Eighth Avenue Line and Houston-Essex Street Line"
,,,,,,,,,,,"Court Street (from February 1, 1933)",,,,,,,19895,79725,112809,111510,,,,,11,"Independent City-Owned Rapid Transit Railroad System - Fares Collected by Stations, Fiscal Years Ended June 30, 1933 to 1939 - Eighth Avenue Line and Houston-Essex Street Line"
,,,,,,,,,,,"Hoyt-Schermerhorn Streets (from April 9, 1936)",,,,,,,163175,837530,1653679,2181312,,,,,11,"Independent City-Owned Rapid Transit Railroad System - Fares Collected by Stations, Fiscal Years Ended June 30, 1933 to 1939 - Eighth Avenue Line and Houston-Essex Street Line"
,,,,,,,,,,,"Lafayette Avenue (from April 9, 1936)",,,,,,,183641,1059036,1298844,2402329,,,,,11,"Independent City-Owned Rapid Transit Railroad System - Fares Collected by Stations, Fiscal Years Ended June 30, 1933 to 1939 - Eighth Avenue Line and Houston-Essex Street Line"
,,,,,,,,,,,"Clinton-Washington Avenues (from April 9, 1936)",,,,,,,178956,990510,1045006,1142327,,,,,11,"Independent City-Owned Rapid Transit Railroad System - Fares Collected by Stations, Fiscal Years Ended June 30, 1933 to 1939 - Eighth Avenue Line and Houston-Essex Street Line"
,,,,,,,,,,,"Franklin Avenue (from April 9, 1936)",,,,,,,348871,1441055,1672346,1744658,,,,,11,"Independent City-Owned Rapid Transit Railroad System - Fares Collected by Stations, Fiscal Years Ended June 30, 1933 to 1939 - Eighth Avenue Line and Houston-Essex Street Line"
,,,,,,,,,,,"Nostrand Avenue (from April 9, 1936)",,,,,,,217244,1109973,2356065,2499203,,,,,11,"Independent City-Owned Rapid Transit Railroad System - Fares Collected by Stations, Fiscal Years Ended June 30, 1933 to 1939 - Eighth Avenue Line and Houston-Essex Street Line"
,,,,,,,,,,,"Kingston-Throop Avenues (from April 9, 1936)",,,,,,,274990,1894895,2095790,2277946,,,,,11,"Independent City-Owned Rapid Transit Railroad System - Fares Collected by Stations, Fiscal Years Ended June 30, 1933 to 1939 - Eighth Avenue Line and Houston-Essex Street Line"
,,,,,,,,,,,"Utica Avenue (from April 9, 1936)",,,,,,,264203,1697869,2096234,2339161,,,,,11,"Independent City-Owned Rapid Transit Railroad System - Fares Collected by Stations, Fiscal Years Ended June 30, 1933 to 1939 - Eighth Avenue Line and Houston-Essex Street Line"
,,,,,,,,,,,"Ralph Avenue (from April 9, 1936)",,,,,,,302904,1719408,2112985,2552400,,,,,11,"Independent City-Owned Rapid Transit Railroad System - Fares Collected by Stations, Fiscal Years Ended June 30, 1933 to 1939 - Eighth Avenue Line and Houston-Essex Street Line"
,,,,,,,,,,,"Rockaway Avenue (from April 9, 1936)",,,,,,,451406,2599828,3939238,3199600,,,,,11,"Independent City-Owned Rapid Transit Railroad System - Fares Collected by Stations, Fiscal Years Ended June 30, 1933 to 1939 - Eighth Avenue Line and Houston-Essex Street Line"
,,,,,,,,,,,HOUSTON-ESSEX STREET LINE,,,,,,,4861405,13149141,14251877,15828888,,,,,11,"Independent City-Owned Rapid Transit Railroad System - Fares Collected by Stations, Fiscal Years Ended June 30, 1933 to 1939 - Eighth Avenue Line and Houston-Essex Street Line"
,,,,,,,,,,,"Broadway-Lafayette Street (from January 1, 1936)",,,,,,,567335,1636054,1975180,2242894,,,,,11,"Independent City-Owned Rapid Transit Railroad System - Fares Collected by Stations, Fiscal Years Ended June 30, 1933 to 1939 - Eighth Avenue Line and Houston-Essex Street Line"
,,,,,,,,,,,"Second Avenue (from January 1, 1936)",,,,,,,1153460,4073263,4674384,4198506,,,,,11,"Independent City-Owned Rapid Transit Railroad System - Fares Collected by Stations, Fiscal Years Ended June 30, 1933 to 1939 - Eighth Avenue Line and Houston-Essex Street Line"
,,,,,,,,,,,"Delancey Street (from January 1, 1936)",,,,,,,2008763,4022497,3513912,5687954,,,,,11,"Independent City-Owned Rapid Transit Railroad System - Fares Collected by Stations, Fiscal Years Ended June 30, 1933 to 1939 - Eighth Avenue Line and Houston-Essex Street Line"
,,,,,,,,,,,"East Broadway (from January 1, 1936)",,,,,,,1030838,2729469,3182601,3475048,,,,,11,"Independent City-Owned Rapid Transit Railroad System - Fares Collected by Stations, Fiscal Years Ended June 30, 1933 to 1939 - Eighth Avenue Line and Houston-Essex Street Line"
,,,,,,,,,,,"York Street (from April 9, 1936)",,,,,,,101149,685677,866700,1013926,,,,,11,"Independent City-Owned Rapid Transit Railroad System - Fares Collected by Stations, Fiscal Years Ended June 30, 1933 to 1939 - Eighth Avenue Line and Houston-Essex Street Line"
,,,,,,,,,,,BROOKLYN CROSSTOWN LINE,,,,,8310970,8489041,4016888,4087785,14188870,17605181,,,,,11,"Independent City-Owned Rapid Transit Railroad System - Fares Collected by Stations, Fiscal Years Ended June 30, 1933 to 1939 - Brooklyn Crosstown Line, Prospect Park-Coney Island Line, Bronx Concourse Line, Queens Boulevard Line"
,,,,,,,,,,,"Court Square (from August 19, 1933)",,,,,295809,458348,631493,659745,979047,1081453,,,,,11,"Independent City-Owned Rapid Transit Railroad System - Fares Collected by Stations, Fiscal Years Ended June 30, 1933 to 1939 - Brooklyn Crosstown Line, Prospect Park-Coney Island Line, Bronx Concourse Line, Queens Boulevard Line"
,,,,,,,,,,,"Van Alst Avenue-21st Street (from August 19, 1933)",,,,,610052,824552,826583,824328,936745,1029732,,,,,11,"Independent City-Owned Rapid Transit Railroad System - Fares Collected by Stations, Fiscal Years Ended June 30, 1933 to 1939 - Brooklyn Crosstown Line, Prospect Park-Coney Island Line, Bronx Concourse Line, Queens Boulevard Line"
,,,,,,,,,,,"Greenpoint Avenue (from August 19, 1933)",,,,,884998,1276933,1600587,1712503,2403567,2566943,,,,,11,"Independent City-Owned Rapid Transit Railroad System - Fares Collected by Stations, Fiscal Years Ended June 30, 1933 to 1939 - Brooklyn Crosstown Line, Prospect Park-Coney Island Line, Bronx Concourse Line, Queens Boulevard Line"
,,,,,,,,,,,"Nassau Avenue (from August 19, 1933)",,,,,919700,1397345,1635364,1833000,2404140,3773147,,,,,11,"Independent City-Owned Rapid Transit Railroad System - Fares Collected by Stations, Fiscal Years Ended June 30, 1933 to 1939 - Brooklyn Crosstown Line, Prospect Park-Coney Island Line, Bronx Concourse Line, Queens Boulevard Line"
,,,,,,,,,,,"Metropolitan Avenue (from July 1, 1937)",,,,,,,,,1102873,1471828,,,,,11,"Independent City-Owned Rapid Transit Railroad System - Fares Collected by Stations, Fiscal Years Ended June 30, 1933 to 1939 - Brooklyn Crosstown Line, Prospect Park-Coney Island Line, Bronx Concourse Line, Queens Boulevard Line"
,,,,,,,,,,,"Broadway (from July 1, 1937)",,,,,,,,,654889,,,,,,11,"Independent City-Owned Rapid Transit Railroad System - Fares Collected by Stations, Fiscal Years Ended June 30, 1933 to 1939 - Brooklyn Crosstown Line, Prospect Park-Coney Island Line, Bronx Concourse Line, Queens Boulevard Line"
,,,,,,,,,,,"Flushing Avenue (from July 1, 1937)",,,,,,,,,,1825117,,,,,11,"Independent City-Owned Rapid Transit Railroad System - Fares Collected by Stations, Fiscal Years Ended June 30, 1933 to 1939 - Brooklyn Crosstown Line, Prospect Park-Coney Island Line, Bronx Concourse Line, Queens Boulevard Line"
,,,,,,,,,,,"Myrtle-Willoughby Avenues (from July 1, 1937)",,,,,,,,,3641822,2076566,,,,,11,"Independent City-Owned Rapid Transit Railroad System - Fares Collected by Stations, Fiscal Years Ended June 30, 1933 to 1939 - Brooklyn Crosstown Line, Prospect Park-Coney Island Line, Bronx Concourse Line, Queens Boulevard Line"
,,,,,,,,,,,"Bedford-Nostrand Avenues (from July 1, 1937)",,,,,,,,,645507,1044068,,,,,11,"Independent City-Owned Rapid Transit Railroad System - Fares Collected by Stations, Fiscal Years Ended June 30, 1933 to 1939 - Brooklyn Crosstown Line, Prospect Park-Coney Island Line, Bronx Concourse Line, Queens Boulevard Line"
,,,,,,,,,,,"Classon Avenue (from July 1, 1937)",,,,,,,,,345697,1078443,,,,,11,"Independent City-Owned Rapid Transit Railroad System - Fares Collected by Stations, Fiscal Years Ended June 30, 1933 to 1939 - Brooklyn Crosstown Line, Prospect Park-Coney Island Line, Bronx Concourse Line, Queens Boulevard Line"
,,,,,,,,,,,"Clinton-Washington Avenues (from July 1, 1937)",,,,,,,,,735308,1064812,,,,,11,"Independent City-Owned Rapid Transit Railroad System - Fares Collected by Stations, Fiscal Years Ended June 30, 1933 to 1939 - Brooklyn Crosstown Line, Prospect Park-Coney Island Line, Bronx Concourse Line, Queens Boulevard Line"
,,,,,,,,,,,"Fulton Street (from July 1, 1937)",,,,,,,,,,,,,,,11,"Independent City-Owned Rapid Transit Railroad System - Fares Collected by Stations, Fiscal Years Ended June 30, 1933 to 1939 - Brooklyn Crosstown Line, Prospect Park-Coney Island Line, Bronx Concourse Line, Queens Boulevard Line"
,,,,,,,,,,,PROSPECT PARK-CONEY ISLAND LINE,,,,510815,7265012,11603416,21341615,14433474,10356858,17468195,,,,,11,"Independent City-Owned Rapid Transit Railroad System - Fares Collected by Stations, Fiscal Years Ended June 30, 1933 to 1939 - Brooklyn Crosstown Line, Prospect Park-Coney Island Line, Bronx Concourse Line, Queens Boulevard Line"
,,,,,,,,,,,"Bergen Street (from March 20, 1933)",,,,,1043117,1671968,1889798,3057083,2273049,2462754,,,,,11,"Independent City-Owned Rapid Transit Railroad System - Fares Collected by Stations, Fiscal Years Ended June 30, 1933 to 1939 - Brooklyn Crosstown Line, Prospect Park-Coney Island Line, Bronx Concourse Line, Queens Boulevard Line"
